игра,вопрос,ответ
Игра престолов,проигравший может выбрать осадную башню в качестве потерь?,О: нет. Осадные башни автоматически уничтожаются после поражения в бою — в дополнение к остальным потерям.
Дорога приключений,как купить черту,"Вы можете приобрести черту, если выполните все условия, указанные на карте. Когда вы берете карту черты, поместите ее под соответствующую карту истории (за исключением случаев, описанных в разделе «Конец акта» на стр. 7).
• Карты I-го акта — под карту происхождения.
• Карты II-го акта — под карту стремления.
• Карты III-го акта — под карту судьбы.
Поместите новую черту под карту истории так, чтобы ее верхняя часть была видна. Указанные на верхней полосе руны способностей, знаки судьбы и другие награды становятся частью вашей истории."
Дорога приключений,что значит отправиться в странствие,"Отправиться в странствие — один раз за ход вы можете потратить
открытую карту любого акта и выложить вместо нее новую. Некоторые карты позволяют вам отправиться в странствие больше одного раза. Если вы сбрасываете испытание, к которому прикреплен союзник, вы также сбрасываете этого союзника."
Дорога приключений,что дают значки на карточках," В процессе игры ваш герой может быть отмечен судьбой в зависимости от выбранного вами пути. Всего есть шесть видов значков истории: Вера, Справедливость, Природа, Магия, Благородство и Злодейство.
Если к концу игры ваш персонаж оказался отмечен несколькими значками истории одного вида, вы можете получить больше очков судьбы. Один значок не приносит очков, поэтому старайтесь собирать несколько одинаковых. Бонусы за значки истории подсчитываются отдельно за каждый вид по следующей схеме:"
Бункер,что делать после открытия карт?,"Когда круг завершён, переходите к Голосованию, если оно указано в Таблице Раундов и бланках голосования. Иначе – начните новый раунд. Активным игроком, который начинает новый раунд, становится следующий за тем, кто начинал текущий раунд."
Бункер,"что делать тем, кто не попал в бункер?","Изгнанным персонажам, к счастью, удалось найти другой бункер, но недостроенный – шансов выжить в нём исключительно мало. Изгнанные противостоят той же катастрофе и 2 случайным угрозам, и
у них нет оснащения полноценного бункера.
1. Изгнанные игроки раскрывают все свои карты и рассказывают о себе.
2. Откройте 2 случайные карты из колоды Угроз.
3. Примите решения о полезности каждого изгнанного персонажа против каждой карты 
4. Соберите все карты Профессий изгнанных персонажей, карты Катастрофы и открытых Угроз в одну стопку истории и тщательно её перемешайте.
5. Начните открывать карты из стопки истории по одной и аналогичным образом определите, кому удалось выжить.
"
Карточные войны,можно флюпать карты на первом ходу?,"Правило первого игрока: если ты первый игрок и это твой первый ход, тебе нельзя флюпать карты и нападать."
Карточные войны,в чем принципиальное различие строений и существ?,"Отличие строения от существа в том, что строение кла-
дётся ниже планшета земли, а не на него (смотри иллюстрацию справа). Необязательно класть кукурузное строение ниже кукурузного поля. Можно класть любое строение ниже любой земли, даже перевёрнутой. Строения можно заменять по тем же принципам, что и существ."
Карточные войны,если мое существо умерло то оно может убить существо другого,"даже если существо погибает, оно всё равно наносит урон существу сопер- ника, так как они наносят урон одновременно."
Каркассон,что я получу за незавершенные дороги,"Владелец каждой незаверш ̧нной дороги получает по 1 очку за каждый квадрат, по которому проходит эта дорога. Владельцем незаверш ̧нного объекта считается игрок, чьих подданных на этом объекте больше. Если у нескольких претендентов на лидерство поровну подданных на объекте, они все получают присуждаемые за этот объект очки."
Каркассон,что делать с реками в дополнении,"Игра вед ̧тся по правилам базового «Каркассона», с одним исключением. В начале пар- тии игроки открывают квадраты из стопки с квадратами с рекой, пока кто-то из игроков не выложит квадрат с озером. Только после этого игроки начинают выкладывать ква- драты местности из базового «Каркассона».
Как и обычные квадраты местности, квадраты с рекой должны хотя бы одной сторо- ной (не углом) соприкасаться с хотя бы одним уже выложенным ранее и продолжать изображ ̧нную местность и реку. Кроме того, русло реки не может дважды поворачи- вать в одну сторону, потому что река не должна течь вспять.
Выложив квадрат с рекой, вы можете выставить на объекты на е ̧ берегах своего подданного из запаса, ру- ководствуясь соответствующими правилами базового «Каркассона»."
Каркассон,куда можно поставить поданного,"Размещайте подданного только на том квадрате, который вы только что открыли и сыграли.  Нельзя ставить своего подданного на объект, где уже есть подданные других игроков."
Монополия Рик и Морти,что делать если я в долгах,"Если Вы задолжали Банку или другому игроку больше той суммы,
которая у Вас имеется, Вы можете заработать деньги, продав
флубл-ходули и губл-коробки или заложив имущество."
Монополия Рик и Морти,как выбраться из тюрьмы,"Если вы попали в тюрьму, вам необходимо 1)
использовать (или купить) карточку «Бесплатно
освободитесь из тюрьмы», 2) выбросить дубль ИЛИ 3)
заплатить штраф в 50 шмеклей. В отличии от
классической версии игры, Рик и Морти позволяет вам
просто заплатить штраф вместо того, чтобы пытаться"
